Term                 | Document ID          | Term Frequency
---------------------------------------------------------------
herakleopoli         | https://en.wikipedia.org/wiki/List_of_pharaohs | 3         
herakleopoli         | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 3         
half                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
half                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
hostag               | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
upload               | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
upload               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
upload               | https://en.wikipedia.org/wiki/Portal:Current_events | 2         
upload               | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 2         
upload               | https://en.wikipedia.org/wiki/Wikipedia:About | 3         
upload               | https://en.wikipedia.org/wiki/Help:Contents | 6         
upload               | https://en.wikipedia.org/wiki/Main_Page | 2         
upload               | https://en.wikipedia.org/wiki/Special:Random | 2         
upload               | https://en.wikipedia.org/wiki/Pharaoh | 2         
upload               | https://en.wikipedia.org/wiki/Wikipedia:Contents | 2         
latina               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
latina               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
latina               | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
latina               | https://en.wikipedia.org/wiki/Help:Contents | 1         
latina               | https://en.wikipedia.org/wiki/Pharaoh | 1         
spoke                | https://en.wikipedia.org/wiki/Special:Random | 1         
nefert               | https://en.wikipedia.org/wiki/List_of_pharaohs | 3         
nefert               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 3         
haaibr               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
haaibr               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
satan                | https://en.wikipedia.org/wiki/Pharaoh | 1         
successfulli         | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
ted                  | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
would                | https://en.wikipedia.org/wiki/List_of_pharaohs | 6         
would                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 6         
would                | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
would                | https://en.wikipedia.org/wiki/Special:Random | 2         
would                | https://en.wikipedia.org/wiki/Pharaoh | 6         
djeserkar            | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
djeserkar            | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
